id,title,Main Story,Main + Extras,Completionist,All Styles,Co-Op,Vs.,Type,Developers,Publishers,Playable On,Genres,NA,EU,JP
+44243,Blaster Master Zero,6.5,8.5,9,8,NA,NA,NA,Inti Creates,Inti Creates,"Nintendo 3DS, Nintendo Switch","Side, Action, Shooter","March 09, 2017",NA,NA
+65818,Blaster Master Zero 2,6.5,8.5,10.5,9.5,NA,NA,NA,Inti Creates,Inti Creates,Nintendo Switch,"Top-Down, Shooter","March 20, 2019",NA,NA
+1138,Blaster Master: Blasting Again,8,NA,NA,8,NA,NA,NA,Sunsoft,Crave Entertainment,PlayStation,"Action, Adventure","February 07, 2001",NA,NA
+1139,Blaster Master: Enemy Below,NA,NA,7.5,7.5,NA,NA,NA,Sunsoft Games,Sunsoft,NA,Run and Gun,"September 30, 2000",NA,NA
+30337,Blaster Master: Overdrive,NA,NA,NA,NA,NA,NA,NA,Sunsoft,Sunsoft,Wii,"Action, Platform","February 08, 2010","June 18, 2010",NA
+29096,Blaster Shooter GunGuy,NA,NA,NA,NA,NA,NA,NA,Adam DeLease,Adam DeLease,PC,"Action, Adventure","August 10, 2015",NA,NA
+13470,Blaster Simulator,1.5,NA,NA,1.5,NA,NA,NA,NA,NA,PC,Simulation,NA,NA,NA
+56972,Blastercell,NA,NA,NA,NA,NA,NA,NA,Robot Games,SmokinSkull,NA,Action,"May 11, 2017","May 11, 2017",NA
+19130,Blasteroids,NA,NA,NA,NA,NA,NA,NA,Atari Games,Atari Games,NA,"Top-Down, Multidirectional, Shooter",1987,NA,NA
+40028,Blasters of the Universe,4,NA,NA,4,NA,NA,NA,The Secret Location,The Secret Location,PlayStation VR,"Virtual Reality, Action","July 14, 2016",NA,NA
+46664,Blasting Agent: Ultimate Edition,NA,2,NA,2,NA,NA,NA,Axol Studio,Axol Studio,NA,"Action, Adventure","August 17, 2016","August 17, 2016",NA
+1140,Blasto,9,NA,NA,9,NA,NA,NA,Sony Interactive,Sony Computer Entertainment,PlayStation,"Action, Platform","June 01, 1998","August 01, 1998",NA
